"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-04",,,"80","H,,S","90",",,S","67",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-05",,,"82","H,,S","95",",,S","70",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-06",,,"82","H,,S",,,"68",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-07",,,"79","H,,S","92",",,S","72",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-08",,,"87","H,,S","99",",,S","70",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-09",,,"84","H,,S","98",",,S","69",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-11",,,"79","H,,S","87",",,S","71",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-12",,,"78","H,,S","92",",,S","68",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-13",,,"84","H,,S","97",",,S","70",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-14",,,"82","H,,S","94",",,S","72",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-15",,,"87","H,,S","99",",,S","73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-16",,,"77","H,,S","97",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-17",,,"78","H,,S",,,"62",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-18",,,"78","H,,S","85",",,S","73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-19",,,"76","H,,S","81",",,S","71",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-21",,,"75","H,,S","81",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-22",,,"77","H,,S","88",",,S","68",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-23",,,"85","H,,S","96",",,S","67",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-24",,,"86","H,,S","98",",,S","72",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-25",,,"80","H,,S","88",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-26",,,"75","H,,S","81",",,S","68",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-28",,,"80","H,,S","92",",,S","65",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-29",,,"83","H,,S","97",",,S","66",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-30",,,"77","H,,S",,,"73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-01",,,"84","H,,S","97",",,S","69",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-02",,,"85","H,,S","97",",,S","71",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-03",,,"85","H,,S","99",",,S","73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-04",,,"79","H,,S","99",",,S","73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-05",,,"86","H,,S",,,"70",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-07",,,"80","H,,S","84",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-08",,,"85","H,,S","94",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-09",,,"83","H,,S","96",",,S","72",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-10",,,"81","H,,S","93",",,S","72",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-11",,,"85","H,,S","96",",,S","72",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-12",,,"88","H,,S","100",",,S","73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-13",,,"88","H,,S",,,"74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-18",,,"84","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-19",,,"81","H,,S","97",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-20",,,"84","H,,S","95",",,S","76",",,S"
